Start Station Name,Rides started
Damen Ave & Sunnyside Ave,2492
Damen Ave & Thomas St (Augusta Blvd),5130
Damen Ave & Wabansia Ave,1817
Damen Ave & Walnut (Lake) St,1862
Damen Ave & Wellington Ave,2766
Dauphin Ave & 103rd St,59
Dauphin Ave & 87th St,68
Dayton St & North Ave,7490
Dearborn Pkwy & Delaware Pl,13770
Dearborn St & Adams St,5826
Dearborn St & Erie St,16577
Dearborn St & Monroe St,11951
Dearborn St & Van Buren St,4366
Delano Ct & Roosevelt Rd,4341
Desplaines St & Jackson Blvd,8587
Desplaines St & Kinzie St,14086
Desplaines St & Randolph St,7413
DIVVY CASSETTE REPAIR MOBILE STATION,2
Divvy Valet - Oakwood Beach,1
Dodge Ave & Church St,660
Dodge Ave & Main St,297
Dodge Ave & Mulford St,224
Dorchester Ave & 49th St,805
Dorchester Ave & 63rd St,354
Doty Ave & 111th St,20
Drake Ave & Addison St,933
Drake Ave & Montrose Ave,943
Drexel Ave & 87th St,1
Dusable Harbor,5305
DuSable Lake Shore Dr & Belmont Ave,10210
DuSable Lake Shore Dr & Diversey Pkwy,11972
DuSable Lake Shore Dr & Monroe St,9416
DuSable Lake Shore Dr & North Blvd,16433
DuSable Lake Shore Dr & Wellington Ave,10506
DuSable Museum,648
East End Ave & 75th St,1
East End Ave & 87th St,75
Eastlake Ter & Howard St,168
Eastlake Ter & Rogers Ave,1283
Eberhart Ave & 131st St,9
Eberhart Ave & 61st St,228
Eberhart Ave & 91st St,51
Eckhart Park,5761
Eggleston Ave & 115th St,2
Eggleston Ave & 69th St,37
Eggleston Ave & 92nd St,15
Elizabeth (May) St & Fulton St,3278
Elizabeth St & 47th St,70
Elizabeth St & 59th St,29
Elizabeth St & 92nd St,101
Elizabeth St & Fulton St,1085
Ellis Ave & 53rd St,4476
Ellis Ave & 55th St,15308
Ellis Ave & 58th St,7901
Ellis Ave & 60th St,19503
Ellis Ave & 83rd St,51
Elmwood Ave & Austin St,767
Elston Ave & Cortland St,5553
Elston Ave & George St,735
Elston Ave & Henderson St,364
Elston Ave & Wabansia Ave,1984
Emerald Ave & 28th St,2263
Emerald Ave & 31st St,5383
Emerald Ave & 43rd St,2
Emerald Ave & 45th St,4
Evans Ave & 63rd St,5
Evans Ave & 75th St,169
Evanston Civic Center,741
Ewing Ave & 101st St,2
Ewing Ave & 105th St,2
Ewing Ave & 106th St,2
Ewing Ave & 96th St,1
Ewing Ave & Burnham Greenway,396
Exchange Ave & 79th St,156
Fairbanks Ct & Grand Ave,11427
Fairbanks St & Superior St,5530
Fairfield Ave & 44th St,27
Fairfield Ave & Roosevelt Rd,297
Federal St & Polk St,11262
Field Blvd & South Water St,6396
Field Museum,1789
Financial Pl & Ida B Wells Dr,6175
Forrestville Ave & 47th St,4
Fort Dearborn Dr & 31st St,4275
Francisco Ave & 47th St,28
Francisco Ave & Bloomingdale Ave,664
Francisco Ave & Foster Ave,1621
Francisco Ave & Hollywood Ave,33
Francisco Ave & Montrose Ave,767
Franklin St & Adams St (Temp),6454
Franklin St & Chicago Ave,11156
Franklin St & Illinois St,8958
Franklin St & Jackson Blvd,10496
Franklin St & Lake St,10672
Franklin St & Monroe St,10904
Fullerton & Monitor,155
Glenwood Ave & Morse Ave,2917
Glenwood Ave & Touhy Ave,1459
Grand Ave & North Ave,1
Green St & 103rd St,1
Green St & Madison Ave*,386
Green St & Madison St,14363
Green St & Randolph St,2859
Green St & Randolph St*,5744
Green St & Washington Blvd,2208
Greenview Ave & Diversey Pkwy,4056
Greenview Ave & Fullerton Ave,7905
Greenview Ave & Jarvis Ave,2305
Greenwood Ave & 47th St,1423
Greenwood Ave & 79th St,34
Greenwood Ave & 91st St,17
Greenwood Ave & 97th St,114
Greenwood Ave & Lake Park Ave,15
Hale Ave & 107th St,94
Hale Ave & 111th St,1
Halsted & 63rd - Kennedy-King Vaccination Site,121
Halsted St & 102nd St,1
Halsted St & 104th St,83
Halsted St & 111th St,57
Halsted St & 18th St,2602
Halsted St & 21st St,1208
Halsted St & 35th St,1785
Halsted St & 37th St,285
Halsted St & 47th Pl,274
Halsted St & 51st St,228
Halsted St & 56th St,51
Halsted St & 59th St,26
Halsted St & 63rd St,39
Halsted St & 64th St,2
Halsted St & 69th St,39
Halsted St & 73rd St,110
Halsted St & 76th St,4
Halsted St & 78th St,59
Halsted St & 95th St - SW,2
Halsted St & 96th St,192
Halsted St & Archer Ave,1532
Halsted St & Clybourn Ave,13664
Halsted St & Dickens Ave,9905
Halsted St & Maxwell St,7275
Halsted St & North Branch St,1299
Halsted St & Polk St,12794
Halsted St & Roosevelt Rd,6206
Halsted St & Roscoe St,12294
Halsted St & Willow St,8238
Halsted St & Wrightwood Ave,12227
Hamilton Ave & 95th St,2
Hamilton Park,1
Hamlin Ave & 62nd Pl,75
Hamlin Ave & Chicago Ave,4
Hamlin Ave & Fullerton Ave,31
Hamlin Ave & Grand Ave,2
Hamlin Ave & Montrose Ave,31
Hampden Ct & Diversey Ave,2239
Harding Ave & 26th St,110
Harding Ave & 47th St,6
Harlem & Irving Park,215
Harlem Ave & Grace St,35
Harold Washington Park,37
Harper Ave & 59th St,4399
Harper Ave & 63rd St,6
Harriet E Sayre Public School,7
Harvey Ave & North Ave,4
Hastings WH 2,3
Hegewisch Metra Station,28
Hermitage Ave & Polk St,4570
Hiawatha Park,4
Homan Ave & 65th St,18
Homan Ave & Fillmore St,62
Homewood Ave & 115th St,74
Homewood Ave & Monterey Ave,24
Honore St & Division St,6666
Houston Ave & 91st St,3
Houston Ave & 92nd St,56
Hoyne Ave & 110th Pl,10
Hoyne Ave & 34th St,71
Hoyne Ave & 47th St,94
Hoyne Ave & Balmoral Ave,1604
Humboldt Blvd & Armitage Ave,2834
Hyde Park Blvd & 53rd St,83
Hyde Park Blvd & 55th St,120
Indiana Ave & 103rd St,43
Indiana Ave & 133rd St,2
Indiana Ave & 26th St,1809
Indiana Ave & 31st St,3109
Indiana Ave & 40th St,139
Indiana Ave & Roosevelt Rd,13488
Ingleside Ave & 79th St,4
Jefferson St & Monroe St,5796
Jeffery Blvd & 67th St,192
Jeffery Blvd & 71st St,260
Jeffery Blvd & 76th St,77
Jeffery Blvd & 83rd St,1
Jeffrey Blvd & 71st St,13
Jonathan Y Scammon Public School,5
Justine St & 87th St,2
Karlov Ave & Kamerling Ave,8
Karlov Ave & Madison St,42
Karlov Ave & Milwaukee Ave,3
Kedvale Ave & 63rd St,2
Kedvale Ave & Addison St,1
Kedvale Ave & Avondale Ave,9
Kedzie & 103rd St - West,1
Kedzie Ave & 104th St,7
Kedzie Ave & 110th St,35
Kedzie Ave & 21st St,235
Kedzie Ave & 24th St,148
Kedzie Ave & 45th St,52
Kedzie Ave & 48th Pl,428
Kedzie Ave & 52nd St,79
Kedzie Ave & 54th St - SE,17
Kedzie Ave & 54th St - SW,33
Kedzie Ave & 57th St,152
Kedzie Ave & 58th St,13
Kedzie Ave & 61st Pl,21
Kedzie Ave & 63rd St,15
Kedzie Ave & 64th St - SE,3
Kedzie Ave & 64th St - SW,4
Kedzie Ave & Archer Ave,11
Kedzie Ave & Argyle St,5
Kedzie Ave & Bryn Mawr Ave,590
Kedzie Ave & Chicago Ave,519
Kedzie Ave & Foster Ave,634
Kedzie Ave & George St,670
Kedzie Ave & Harrison St,88
Kedzie Ave & Lake St,571
Kedzie Ave & Leland Ave,1058
Kedzie Ave & Milwaukee Ave,7589
Kedzie Ave & Palmer Ct,2510
Kedzie Ave & Pershing Rd,6
Kedzie Ave & Roosevelt Rd,100
Keeler Ave & Madison St,4
Keeler Ave & Roosevelt Rd,4
Kenneth Ave & 50th St,17
Kenneth Ave & 63rd St,2
Kenosha & Wellington,247
Kenton Ave & Madison St,45
Kenton Ave & Palmer St,73
Keystone Ave & Fullerton Ave,626
Keystone Ave & Irving Park Rd,11
Keystone Ave & Montrose Ave,644
Keystone Ave & North Ave,21
Kilbourn & Belden,88
Kilbourn & Roscoe,164
Kilbourn Ave & Fullerton Ave,2
Kilbourn Ave & Irving Park Rd,302
Kilbourn Ave & Milwaukee Ave,188
Kildare & Cermak,51
Kildare Ave & 26th St,14
Kildare Ave & 47th St,60
Kildare Ave & 55th St,19
Kildare Ave & 63rd St,1
Kildare Ave & Chicago Ave,14
Kildare Ave & Division Ave,1
Kildare Ave & Division St,10
Kildare Ave & Montrose Ave,535
Kildare Ave & Washignton Blvd,1
Kilpatrick Ave & Grand Ave,88
Kilpatrick Ave & Parker Ave,260
Kimball Ave & Belmont Ave,1353
Kimball Ave & Carmen Ave,9
Kimbark Ave & 53rd St,11056
Kimbark Ave & 63rd St,3
Kimbark Ave & 67th St,21
Kingsbury St & Erie St,12143
Kingsbury St & Kinzie St,24937
Knox Ave & Montrose Ave,717
Kolin Ave & Archer Ave,6
Komensky Ave & 31st St,156
Komensky Ave & 55th St,99
Komensky Ave & 59th St,13
Kosciuszko Park,1499
Kostner Ave & 63rd St,37
Kostner Ave & Adams St,280
Kostner Ave & Armitage Ave,112
Kostner Ave & Lake St,19
Kostner Ave & North Ave,2
Kostner Ave & Wrightwood Ave,171
La Villita Park (Albany/30th),19
Lafayette Ave & 87th St - NW,3
Lafayette Ave & 95th St,24
Laflin St & 51st St,4
Laflin St & Cullerton St,1858
Lake Park Ave & 35th St,1333
Lake Park Ave & 44th St,1
Lake Park Ave & 47th St,1397
Lake Park Ave & 53rd St,4477
Lake Park Ave & 56th St,5174
Lakefront Trail & Bryn Mawr Ave,7384
Lakefront Trail & Wilson Ave,4587
Lakeview Ave & Fullerton Pkwy,12343
Lamon Ave & Armitage Ave,54
Lamon Ave & Belmont Ave,307
Lamon Ave & Chicago Ave,55
Langley Ave & 105th Pl,4
Langley Ave & 79th St,22
Laramie Ave & Belmont Ave,15
Laramie Ave & Fullerton Ave,6
Laramie Ave & Gladys Ave,25
Laramie Ave & Grand Ave,6
Laramie Ave & Kinzie St,88
Laramie Ave & Madison St,104
Larrabee St & Armitage Ave,5546
Larrabee St & Division St,7525
Larrabee St & Kingsbury St,13763
Larrabee St & Menomonee St,3833
Larrabee St & North Ave,4173
Larrabee St & Oak St,5814
Larrabee St & Webster Ave,12297
LaSalle Dr & Huron St,7811
LaSalle St & Adams St,3033
LaSalle St & Illinois St,13191
LaSalle St & Jackson Blvd,10075
LaSalle St & Washington St,6323
Latrobe Ave & Chicago Ave,65
Latrobe Ave & Lake St,3
Lavergne & Fullerton,168
Lavergne Ave & 46th St,2
Lavergne Ave & Division St,21
Lawler Ave & 50th St,108
Lawndale Ave & 111th St,26
Lawndale Ave & 16th St,30
Lawndale Ave & 30th St,57
Lawndale Ave & Diversey Ave,25
Lawndale Ave & Polk St,1
Lawrence Ave & 103rd St,1
Leamington Ave & Hirsch St,8
Leavitt St & Addison St,1945
Leavitt St & Archer Ave,610
Leavitt St & Armitage Ave,3245
Leavitt St & Belmont Ave,2601
Leavitt St & Chicago Ave,2980
Leavitt St & Division St,2904
Leavitt St & Lawrence Ave,1985
Leavitt St & North Ave,3931
Lincoln Ave & Addison St,2012
Lincoln Ave & Balmoral Ave,456
Lincoln Ave & Belle Plaine Ave,3810
Lincoln Ave & Belmont Ave,1974
Lincoln Ave & Belmont Ave (Temp),3592
Lincoln Ave & Diversey Pkwy,9976
Lincoln Ave & Fullerton Ave,12233
Lincoln Ave & Peterson Ave,237
Lincoln Ave & Roscoe St,2293
Lincoln Ave & Roscoe St - Charging,3
Lincoln Ave & Roscoe St*,4240
Lincoln Ave & Sunnyside Ave,3879
Lincoln Ave & Waveland Ave,2906
Lincoln Ave & Winona St,1650
Lincoln Park Conservatory,5367
Lincolnwood Dr & Central St,383
Linder Ave & Belmont Ave,4
Lockwood Ave & Wrightwood Ave,429
Logan Blvd & Elston Ave,3927
Long & Irving Park,332
Long Ave & Belden Ave,216
Long Ave & Belmont Ave,154
Long Ave & North Ave,19
Longwood Dr & 111th St,3
Longwood Dr & 95th St,1
Loomis Blvd & 84th St,88
Loomis St & 87th St,38
Loomis St & 89th St,32
Loomis St & Archer Ave,877
Loomis St & Jackson Blvd,4552
Loomis St & Lexington St,19128
Loomis St & Lexington St*,494
Lorel Ave & Chicago Ave,2
Lowe Ave & 98th St,1
Lowe Park,1
Lowell Ave & Elston Ave,17
Mackinaw Ave & 108th St,1
Mackinaw Ave & 85th St,1
Major Ave & Bloomingdale Ave,25
Major Taylor Trail & 115th St,51
Major Taylor Trail & 124th St,29
Malcolm X College,325
Malcolm X College Vaccination Site,909
Manor Ave & Leland Ave,1492
Maplewood Ave & 59th St,13
Maplewood Ave & Peterson Ave,347
Marine Dr & Ainslie St,4218
Marquette Ave & 79th St,4
Marquette Ave & 83rd St,1
Marquette Ave & 89th St,46
Marshfield Ave & 44th St,213
Marshfield Ave & 45th St,6
Marshfield Ave & 59th St,33
Martin Luther King Dr & 111th St,56
Martin Luther King Dr & 44th St,4
Martin Luther King Dr & 69th St,1
Maryland Ave & 104th St,149
Maryland Ave & 87th ST,1
Mason Ave & Belmont Ave,28
May St & 69th St,225
May St & Cullerton St,1668
May St & Taylor St,10907
Mayfield & Roosevelt Rd,11
McClurg Ct & Erie St,10152
McClurg Ct & Ohio St,11321
McCormick Blvd & Devon Ave,3
McCormick Place,1833
McVicker Ave & Grand Ave,1
Meade Ave & Addison St,55
Meade Ave & Diversey Ave,117
Menard Ave & Agusta Blvd,3
Menard Ave & Belmont Ave,1
Menard Ave & Dakin St - midblock,4
Menard Ave & Division St,8
Menard Ave & Grand Ave,4
Menard Ave & Madison St,1
Menard Ave & North Ave,11
Michigan Ave & 102nd St,1
Michigan Ave & 110th St,1
Michigan Ave & 113th St,1
Michigan Ave & 114th St,17
Michigan Ave & 14th St,7411
Michigan Ave & 18th St,6076
Michigan Ave & 71st St,26
Michigan Ave & 8th St,6318
Michigan Ave & 96th St,1
Michigan Ave & Ida B Wells Dr,2990
Michigan Ave & Jackson Blvd,5028
Michigan Ave & Lake St,11901
Michigan Ave & Madison St,5354
Michigan Ave & Oak St,14396
Michigan Ave & Pearson St,5044
Michigan Ave & Washington St,12899
Midway Orange Line,45
Mies van der Rohe Way & Chestnut St,9280
Mies van der Rohe Way & Chicago Ave,9698
Millard Ave & 26th St,204
Millennium Park,9475
Milwaukee Ave & Addison St,15
Milwaukee Ave & Cuyler Ave,416
Milwaukee Ave & Diversey Ave,83
Milwaukee Ave & Fullerton Ave,1739
Milwaukee Ave & Grand Ave,9289
Milwaukee Ave & Haussen Ct,22
Milwaukee Ave & Rockwell St,2528
Milwaukee Ave & School St,16
Milwaukee Ave & Wabansia Ave,7384
MLK Jr Dr & 29th St,7213
MLK Jr Dr & 47th St,290
MLK Jr Dr & 56th St,223
MLK Jr Dr & 63rd St,196
MLK Jr Dr & 83rd St,96
MLK Jr Dr & Pershing Rd,636
Monticello Ave & Belmont Ave,26
Monticello Ave & Chicago Ave,91
Monticello Ave & Irving Park Rd,879
Montrose Harbor,7822
Morgan Ave & 14th Pl,3599
Morgan St & 103rd St,2
Morgan St & 18th St,3649
Morgan St & 31st St,2646
Morgan St & 87th St,2
Morgan St & 95th St,15
Morgan St & Lake St,5850
Morgan St & Lake St*,3385
Morgan St & Pershing Rd,85
Morgan St & Polk St,12884
Mozart Elementary School,19
Mozart St & Jackson Blvd,49
Mt Greenwood Library - South,2
MTV Hubbard St,425
Mulligan Ave & Wellington Ave,250
Museum of Science and Industry,1862
Muskegon Ave & 89th St,4
N Carpenter St & W Lake St,1760
N Clark St & W Elm St,134
N Damen Ave & W Chicago Ave,430
N Green St & W Lake St,4125
N Narragansett Ave & Grand Ave,8
N Paulina St & Lincoln Ave,531
N Sayre Ave & W Belden Ave,3
N Sheffield Ave & W Wellington Ave,1014
N Shore Channel Trail & Argyle Ave,3
N Shore Channel Trail & Argyle St,432
N Southport Ave & W Newport Ave,670
Nagle Ave & Belmont Ave,32
Narragansett & Irving Park,309
Narragansett & McLean,96
Narragansett & Wrightwood,403
Narragansett Ave & Fullerton Ave,12
Narragansett Ave & School St,124
Neva Ave & Grand Ave,18
New England Ave & Grace St,1
New St & Illinois St,10930
Newcastle Ave & Belden Ave,31
Newcastle Ave & Belmont Ave,1
NewHastings,52
Newland Ave & Diversey Ave,2
Noble St & Milwaukee Ave,5593
Nordica & Medill,34
Nordica Ave & Addison St,1
Normal Ave & Archer Ave,791
North Ave & New England Ave,24
Oak Park & Wellington,66
Oakley Ave & Irving Park Rd,1509
Oakley Ave & Touhy Ave,339
Ogden Ave & Chicago Ave,7413
Ogden Ave & Congress Pkwy,2405
Ogden Ave & Race Ave,6665
Ogden Ave & Roosevelt Rd,1424
Oglesby Ave & 100th St,51
Oglesby Ave & 105th St,1
Oglesby Ave & 95th St,6
Oketo Ave & Addison St,30
Oketo Ave & Belmont Ave,2
Oleander Ave & Addison St,3
Olive Harvey College,112
Orange & Addison,137
Orleans St & Chestnut St (NEXT Apts),5871
Orleans St & Elm St,3590
Orleans St & Hubbard St,6048
Orleans St & Merchandise Mart Plaza,11481
Ozark Ave & Addison St,3
Panama Ave & Grace St,28
Parkside Ave & Armitage Ave,15
Paulina Ave & North Ave,5247
Paulina St & 18th St,3282
Paulina St & Flournoy St,7736
Paulina St & Howard St,1673
Paulina St & Montrose Ave,2661
Peoria St & Jackson Blvd,12558
Percy Julian HS,1
Perry Ave & 108th Pl,5
Perry Ave & 69th St,89
Phillips Ave & 79th St,129
Phillips Ave & 83rd St,68
Pine Grove Ave & Irving Park Rd,9955
Pine Grove Ave & Waveland Ave,12347
Ping Tom Park (East),169
Piotrowski Park,1
Pittsburgh Ave & Irving Park,1
Plainfield & Irving Park,33
Plainfield Ave & Irving Park Rd,1
Prairie Ave & 43rd St,457
Prairie Ave & 47th St - midblock,18
Prairie Ave & Garfield Blvd,919
Princeton Ave & 47th St,396
Princeton Ave & Garfield Blvd,223
Prospect Sq & 91st St,61
