Start Station Name,Rides Started
Ellis Ave & 132nd Pl,5
Ellis Ave & 53rd St,1466
Ellis Ave & 55th St,3855
Ellis Ave & 58th St,1765
Ellis Ave & 60th St,4659
Ellis Ave & 83rd St,131
Elmwood Ave & Austin St,452
Elston Ave & Cortland St,3277
Elston Ave & George St,746
Elston Ave & Henderson St,382
Elston Ave & Wabansia Ave,1436
Emerald Ave & 28th St,575
Emerald Ave & 31st St,1317
Emerald Ave & 43rd St,9
Evans Ave & 75th St,81
Evanston Civic Center,648
Ewing Ave & 101st St,1
Ewing Ave & 105th St,3
Ewing Ave & 106th St,6
Ewing Ave & 112th St,4
Ewing Ave & 96th St,5
Ewing Ave & 99th St,1
Ewing Ave & Burnham Greenway,321
Ewing Ave & Indianapolis Ave,2
Exchange Ave & 79th St,99
Fairbanks Ct & Grand Ave,8022
Fairbanks St & Superior St,2707
Fairfield Ave & 44th St,119
Fairfield Ave & Roosevelt Rd,309
Federal St & Polk St,6686
Field Blvd & South Water St,5997
Field Museum,7250
Financial Pl & Ida B Wells Dr,2716
Forrestville Ave & 47th St,6
Fort Dearborn Dr & 31st St,4312
Francisco Ave & 47th St,184
Francisco Ave & Bloomingdale Ave,471
Francisco Ave & Foster Ave,814
Francisco Ave & Hollywood Ave,63
Francisco Ave & Montrose Ave,610
Franklin St & Adams St (Temp),3209
Franklin St & Chicago Ave,5468
Franklin St & Illinois St,5397
Franklin St & Jackson Blvd,6394
Franklin St & Lake St,4705
Franklin St & Monroe St,3864
Fullerton & Monitor,208
Glenwood Ave & Morse Ave,1750
Glenwood Ave & Touhy Ave,698
Grand Ave & North Ave,12
Green St & 103rd St,5
Green St & Madison Ave*,97
Green St & Madison St,7924
Green St & Randolph St,1832
Green St & Randolph St*,4948
Green St & Washington Blvd,1580
Greenview Ave & Diversey Pkwy,3072
Greenview Ave & Fullerton Ave,5135
Greenview Ave & Jarvis Ave,1244
Greenwood Ave & 47th St,865
Greenwood Ave & 79th St,83
Greenwood Ave & 87th St,1
Greenwood Ave & 91st St,87
Greenwood Ave & 97th St,51
Greenwood Ave & Lake Park Ave,8
Hale Ave & 107th St,155
Hale Ave & 111th St,1
Halsted & 63rd - Kennedy-King Vaccination Site,215
Halsted St & 102nd St,3
Halsted St & 104th St,77
Halsted St & 111th St,78
Halsted St & 18th St,1377
Halsted St & 21st St,847
Halsted St & 35th St,907
Halsted St & 37th St,231
Halsted St & 41st St,3
Halsted St & 47th Pl,243
Halsted St & 51st St,126
Halsted St & 56th St,86
Halsted St & 59th St,49
Halsted St & 63rd St,48
Halsted St & 64th St,2
Halsted St & 69th St,65
Halsted St & 73rd St,71
Halsted St & 76th St,12
Halsted St & 78th St,145
Halsted St & 80th St,9
Halsted St & 94th St,6
Halsted St & 95th St - SE,4
Halsted St & 95th St - SW,3
Halsted St & 96th St,123
Halsted St & Archer Ave,1117
Halsted St & Clybourn Ave,7499
Halsted St & Dickens Ave,6928
Halsted St & Maxwell St,3512
Halsted St & North Branch St,774
Halsted St & Polk St,2850
Halsted St & Roosevelt Rd,1819
Halsted St & Roscoe St,9788
Halsted St & Willow St,3744
Halsted St & Wrightwood Ave,8650
Hamilton Ave & 95th St,10
Hamlin Ave & 62nd Pl,132
Hamlin Ave & Chicago Ave,6
Hamlin Ave & Fullerton Ave,50
Hamlin Ave & Grand Ave,15
Hamlin Ave & Montrose Ave,15
Hampden Ct & Diversey Ave,1515
Harding Ave & 26th St,176
Harding Ave & 47th St,5
Harlem & Irving Park,532
Harlem Ave & Grace St,61
Harold Washington Park,45
Harper Ave & 59th St,1073
Harper Ave & 63rd St,4
Harriet E Sayre Public School,5
Harvard Ave & 103rd St,7
Harvard Ave & 119th St,2
Harvey Ave & North Ave,4
Hegewisch Metra Station,92
Hermitage Ave & Polk St,919
Hiawatha Park,11
Homan Ave & 111th St,9
Homan Ave & 26th St,1
Homan Ave & 65th St,129
Homan Ave & Fillmore St,51
Homewood Ave & 115th St,116
Homewood Ave & Monterey Ave,24
Honore St & 87th St - SE,2
Honore St & Division St,5226
Houston Ave & 91st St,5
Houston Ave & 92nd St,128
Hoyne Ave & 110th Pl,10
Hoyne Ave & 34th St,72
Hoyne Ave & 47th St,231
Hoyne Ave & Balmoral Ave,976
Humboldt Blvd & Armitage Ave,2828
Hyde Park Blvd & 53rd St,64
Hyde Park Blvd & 55th St,115
Indiana Ave & 103rd St,151
Indiana Ave & 133rd St,13
Indiana Ave & 26th St,864
Indiana Ave & 31st St,765
Indiana Ave & 40th St,264
Indiana Ave & Roosevelt Rd,13691
Ingleside Ave & 79th St,3
Jefferson St & Monroe St,2635
Jeffery Blvd & 67th St,430
Jeffery Blvd & 71st St,234
Jeffery Blvd & 76th St,107
Jeffery Blvd & 83rd St,2
Jeffrey Blvd & 71st St,10
Jonathan Y Scammon Public School,18
Justine St & 87th St,8
Karlov Ave & Kamerling Ave,11
Karlov Ave & Madison St,104
Karlov Ave & Milwaukee Ave,1
